bucket,kind,era,series,rel_day,value
10y,new_issue,full,mean_xcpi,-10,0.0
10y,new_issue,full,mean_xcpi,-9,0.01671279715608816
10y,new_issue,full,mean_xcpi,-8,0.03028161097609223
10y,new_issue,full,mean_xcpi,-7,0.010301347917198571
10y,new_issue,full,mean_xcpi,-6,0.023786916611252436
10y,new_issue,full,mean_xcpi,-5,0.07538751708277591
10y,new_issue,full,mean_xcpi,-4,0.12933518791208004
10y,new_issue,full,mean_xcpi,-3,0.1714617314208898
10y,new_issue,full,mean_xcpi,-2,0.14312647710385318
10y,new_issue,full,mean_xcpi,-1,0.16173054402156517
10y,new_issue,full,mean_xcpi,0,0.1615450764579679
10y,new_issue,full,mean_xcpi,1,0.2857028556749613
10y,new_issue,full,mean_xcpi,2,0.1865483242015018
10y,new_issue,full,mean_xcpi,3,0.19864106999043832
10y,new_issue,full,mean_xcpi,4,0.22182369226489906
10y,new_issue,full,mean_xcpi,5,0.2379038472683243
10y,new_issue,full,mean_xcpi,6,0.21734421636187742
10y,new_issue,full,mean_xcpi,7,0.33534844548647935
10y,new_issue,full,mean_xcpi,8,0.3744184718357692
10y,new_issue,full,mean_xcpi,9,0.4517059679347308
10y,new_issue,full,mean_xcpi,10,0.3906225657591954
10y,new_issue,full,median_xcpi,-10,0.0
10y,new_issue,full,median_xcpi,-9,2.0610895076877966e-05
10y,new_issue,full,median_xcpi,-8,0.02354039912070005
10y,new_issue,full,median_xcpi,-7,0.007865611580484266
10y,new_issue,full,median_xcpi,-6,0.04214371593663779
10y,new_issue,full,median_xcpi,-5,0.07922612294124354
10y,new_issue,full,median_xcpi,-4,0.07397508798468305
10y,new_issue,full,median_xcpi,-3,0.04808197010086057
10y,new_issue,full,median_xcpi,-2,0.09447267786077962
10y,new_issue,full,median_xcpi,-1,0.1096467936868517
10y,new_issue,full,median_xcpi,0,0.2699482943923248
10y,new_issue,full,median_xcpi,1,0.2192793507890145
10y,new_issue,full,median_xcpi,2,0.05304146499907203
10y,new_issue,full,median_xcpi,3,0.07844969127008888
10y,new_issue,full,median_xcpi,4,0.19974248560560848
10y,new_issue,full,median_xcpi,5,0.13513366518222436
10y,new_issue,full,median_xcpi,6,0.08521158625476102
10y,new_issue,full,median_xcpi,7,0.14256570607592553
10y,new_issue,full,median_xcpi,8,0.30513085663939066
10y,new_issue,full,median_xcpi,9,0.27018733461819006
10y,new_issue,full,median_xcpi,10,0.24043147618401461
10y,new_issue,full,mean_raw,-10,0.0
10y,new_issue,full,mean_raw,-9,0.01671279715608816
10y,new_issue,full,mean_raw,-8,0.03028161097609223
10y,new_issue,full,mean_raw,-7,7.109497677293408e-06
10y,new_issue,full,mean_raw,-6,0.025099984784670147
10y,new_issue,full,mean_raw,-5,0.07635420506785157
10y,new_issue,full,mean_raw,-4,0.13866785383260274
10y,new_issue,full,mean_raw,-3,0.18079439734141256
10y,new_issue,full,mean_raw,-2,0.14909819167314567
10y,new_issue,full,mean_raw,-1,0.16353720858963558
10y,new_issue,full,mean_raw,0,0.12704743155931364
10y,new_issue,full,mean_raw,1,0.2512052107763071
10y,new_issue,full,mean_raw,2,0.15205067930284763
10y,new_issue,full,mean_raw,3,0.16414342509178406
10y,new_issue,full,mean_raw,4,0.1751292602338314
10y,new_issue,full,mean_raw,5,0.19164050592567652
10y,new_issue,full,mean_raw,6,0.17456517924748743
10y,new_issue,full,mean_raw,7,0.2679261973726042
10y,new_issue,full,mean_raw,8,0.322620202410268
10y,new_issue,full,mean_raw,9,0.3999076985092295
10y,new_issue,full,mean_raw,10,0.3388242963336944
10y,new_issue,full,mean_z,-10,0.0
10y,new_issue,full,mean_z,-9,0.03544418323128505
10y,new_issue,full,mean_z,-8,0.19745311913254812
10y,new_issue,full,mean_z,-7,0.23256179918595982
10y,new_issue,full,mean_z,-6,0.2436449453625782
10y,new_issue,full,mean_z,-5,0.5530898274859531
10y,new_issue,full,mean_z,-4,0.6816847296820311
10y,new_issue,full,mean_z,-3,0.8461213766409438
10y,new_issue,full,mean_z,-2,0.8882016767696412
10y,new_issue,full,mean_z,-1,0.9853152676376695
10y,new_issue,full,mean_z,0,1.5773793954479562
10y,new_issue,full,mean_z,1,1.7702212756325095
10y,new_issue,full,mean_z,2,1.5042248583491908
10y,new_issue,full,mean_z,3,1.4373447216771673
10y,new_issue,full,mean_z,4,1.5478623127283238
10y,new_issue,full,mean_z,5,1.6024429028665987
10y,new_issue,full,mean_z,6,1.476990995755661
10y,new_issue,full,mean_z,7,1.5608864202865214
10y,new_issue,full,mean_z,8,1.8128877334099283
10y,new_issue,full,mean_z,9,2.4112789327122313
10y,new_issue,full,mean_z,10,2.144978871026437
10y,new_issue,full,ci_lo,-10,0.0
10y,new_issue,full,ci_lo,-9,-0.03128619900314049
10y,new_issue,full,ci_lo,-8,-0.02556252335686756
10y,new_issue,full,ci_lo,-7,-0.04633605366791072
10y,new_issue,full,ci_lo,-6,-0.04373457143286783
10y,new_issue,full,ci_lo,-5,0.001247238126616618
10y,new_issue,full,ci_lo,-4,0.04710801308918972
10y,new_issue,full,ci_lo,-3,0.05703558031322303
10y,new_issue,full,ci_lo,-2,0.0448989195091175
10y,new_issue,full,ci_lo,-1,0.047205787426980915
10y,new_issue,full,ci_lo,0,-0.19617898009525597
10y,new_issue,full,ci_lo,1,-0.015270950347681604
10y,new_issue,full,ci_lo,2,-0.1564734501477372
10y,new_issue,full,ci_lo,3,-0.16319740966629911
10y,new_issue,full,ci_lo,4,-0.1328131452056432
10y,new_issue,full,ci_lo,5,-0.10618519953534675
10y,new_issue,full,ci_lo,6,-0.13018371045415938
10y,new_issue,full,ci_lo,7,-0.012239555503538982
10y,new_issue,full,ci_lo,8,0.01362728111998256
10y,new_issue,full,ci_lo,9,0.06900026927247299
10y,new_issue,full,ci_lo,10,0.022288875862595835
10y,new_issue,full,ci_hi,-10,0.0
10y,new_issue,full,ci_hi,-9,0.06841633572835643
10y,new_issue,full,ci_hi,-8,0.0884025638801967
10y,new_issue,full,ci_hi,-7,0.06844633756600474
10y,new_issue,full,ci_hi,-6,0.0896560603809854
10y,new_issue,full,ci_hi,-5,0.14420362786116506
10y,new_issue,full,ci_hi,-4,0.21587049118253615
10y,new_issue,full,ci_hi,-3,0.29048355594117536
10y,new_issue,full,ci_hi,-2,0.2475069962039783
10y,new_issue,full,ci_hi,-1,0.28325827819496385
10y,new_issue,full,ci_hi,0,0.47382786897327683
10y,new_issue,full,ci_hi,1,0.5863454167219923
10y,new_issue,full,ci_hi,2,0.5267222505764853
10y,new_issue,full,ci_hi,3,0.553538692438765
10y,new_issue,full,ci_hi,4,0.5704106125995555
10y,new_issue,full,ci_hi,5,0.5790578768030278
10y,new_issue,full,ci_hi,6,0.5654241465941184
10y,new_issue,full,ci_hi,7,0.6752833281993728
10y,new_issue,full,ci_hi,8,0.7182358887741161
10y,new_issue,full,ci_hi,9,0.8327939611753578
10y,new_issue,full,ci_hi,10,0.7632298540475287
10y,new_issue,train,mean_xcpi,-10,0.0
10y,new_issue,train,mean_xcpi,-9,0.03016590639412384
10y,new_issue,train,mean_xcpi,-8,0.015890966676040768
10y,new_issue,train,mean_xcpi,-7,-0.02116229944040899
10y,new_issue,train,mean_xcpi,-6,-0.003483277607348819
10y,new_issue,train,mean_xcpi,-5,0.056848083466252135
10y,new_issue,train,mean_xcpi,-4,0.11618730389676696
10y,new_issue,train,mean_xcpi,-3,0.18647097319616163
10y,new_issue,train,mean_xcpi,-2,0.11955316158658903
10y,new_issue,train,mean_xcpi,-1,0.11186309983349371
10y,new_issue,train,mean_xcpi,0,0.07328604160213557
10y,new_issue,train,mean_xcpi,1,0.2824696461475632
10y,new_issue,train,mean_xcpi,2,0.11630582807145551
10y,new_issue,train,mean_xcpi,3,0.1373488513820323
10y,new_issue,train,mean_xcpi,4,0.1468090609066476
10y,new_issue,train,mean_xcpi,5,0.14228207219076117
10y,new_issue,train,mean_xcpi,6,0.12825965440117904
10y,new_issue,train,mean_xcpi,7,0.2984972186229963
10y,new_issue,train,mean_xcpi,8,0.36984122932958824
10y,new_issue,train,mean_xcpi,9,0.5111286412836662
10y,new_issue,train,mean_xcpi,10,0.3971366868697977
10y,new_issue,train,median_xcpi,-10,0.0
10y,new_issue,train,median_xcpi,-9,0.016166920989904576
10y,new_issue,train,median_xcpi,-8,0.024187926813967753
10y,new_issue,train,median_xcpi,-7,-0.010851139333400983
10y,new_issue,train,median_xcpi,-6,0.044193466694070205
10y,new_issue,train,median_xcpi,-5,0.05848263490911554
10y,new_issue,train,median_xcpi,-4,0.07054190833555152
10y,new_issue,train,median_xcpi,-3,0.03954626880228185
10y,new_issue,train,median_xcpi,-2,0.05697096090110376
10y,new_issue,train,median_xcpi,-1,0.08228860165078733
10y,new_issue,train,median_xcpi,0,0.1884837902454069
10y,new_issue,train,median_xcpi,1,0.045786952982200424
10y,new_issue,train,median_xcpi,2,-0.011122171197805508
10y,new_issue,train,median_xcpi,3,0.021999008283840604
10y,new_issue,train,median_xcpi,4,-0.011435630261594276
10y,new_issue,train,median_xcpi,5,0.021295984543848068
10y,new_issue,train,median_xcpi,6,-0.041876384561316815
10y,new_issue,train,median_xcpi,7,-0.010573903659457207
10y,new_issue,train,median_xcpi,8,0.23877247589849354
10y,new_issue,train,median_xcpi,9,0.24947456906953275
10y,new_issue,train,median_xcpi,10,0.17034633754487527
10y,new_issue,train,mean_raw,-10,0.0
10y,new_issue,train,mean_raw,-9,0.03016590639412384
10y,new_issue,train,mean_raw,-8,0.015890966676040768
10y,new_issue,train,mean_raw,-7,-0.02116229944040899
10y,new_issue,train,mean_raw,-6,0.0035994340278147205
10y,new_issue,train,mean_raw,-5,0.07424600806623481
10y,new_issue,train,mean_raw,-4,0.1526107327118792
10y,new_issue,train,mean_raw,-3,0.22289440201127386
10y,new_issue,train,mean_raw,-2,0.1505473612958679
10y,new_issue,train,mean_raw,-1,0.13612914184849073
10y,new_issue,train,mean_raw,0,0.038906660632423574
10y,new_issue,train,mean_raw,1,0.2480902651778512
10y,new_issue,train,mean_raw,2,0.08192644710174363
10y,new_issue,train,mean_raw,3,0.10296947041232038
10y,new_issue,train,mean_raw,4,0.09272717764611375
10y,new_issue,train,mean_raw,5,0.08889656619613638
10y,new_issue,train,mean_raw,6,0.0805026398522015
10y,new_issue,train,mean_raw,7,0.21093194015177347
10y,new_issue,train,mean_raw,8,0.30751468566266194
10y,new_issue,train,mean_raw,9,0.44880209761673995
10y,new_issue,train,mean_raw,10,0.33481014320287145
10y,new_issue,train,mean_z,-10,0.0
10y,new_issue,train,mean_z,-9,0.0699807612265937
10y,new_issue,train,mean_z,-8,0.02950380997307299
10y,new_issue,train,mean_z,-7,0.053806647551250815
10y,new_issue,train,mean_z,-6,0.07824271586653672
10y,new_issue,train,mean_z,-5,0.40428805212716645
10y,new_issue,train,mean_z,-4,0.4330550849151293
10y,new_issue,train,mean_z,-3,0.7308671163184592
10y,new_issue,train,mean_z,-2,0.6645891322963867
10y,new_issue,train,mean_z,-1,0.6316349337064479
10y,new_issue,train,mean_z,0,1.2676618527293686
10y,new_issue,train,mean_z,1,1.6600961285549047
10y,new_issue,train,mean_z,2,1.1704874275083352
10y,new_issue,train,mean_z,3,1.1781231675514583
10y,new_issue,train,mean_z,4,1.1798027405956275
10y,new_issue,train,mean_z,5,1.0716252567594742
10y,new_issue,train,mean_z,6,0.9517398264032941
10y,new_issue,train,mean_z,7,0.9040433216970236
10y,new_issue,train,mean_z,8,1.3234368417348923
10y,new_issue,train,mean_z,9,2.3867764182158826
10y,new_issue,train,mean_z,10,1.9034853816269783
10y,new_issue,train,ci_lo,-10,0.0
10y,new_issue,train,ci_lo,-9,-0.034875460254646336
10y,new_issue,train,ci_lo,-8,-0.05584268648785068
10y,new_issue,train,ci_lo,-7,-0.08727372541234203
10y,new_issue,train,ci_lo,-6,-0.08069196828088658
10y,new_issue,train,ci_lo,-5,-0.019722154531993583
10y,new_issue,train,ci_lo,-4,0.02923241330710408
10y,new_issue,train,ci_lo,-3,0.04531270587580817
10y,new_issue,train,ci_lo,-2,0.008436862989362052
10y,new_issue,train,ci_lo,-1,-0.02385246306589212
