bucket,kind,not_establishable,era,n,concession_bp,concession_raw_bp,concession_z,hit_concession,retrace_1_bp,hit_retrace_1,retrace_3_bp,hit_retrace_3,retrace_5_bp,hit_retrace_5,p_concession,p_retrace_1,p_retrace_3,p_retrace_5,n_placebo_events,dv01_spearman_concession
10y,new_issue,False,full,42,0.1615450764579679,0.12704743155931364,1.5773793954479562,0.7619047619047619,0.12415777921699347,0.5,0.037095993532470437,0.5,0.07635877081035645,0.5476190476190477,0.0125,0.9995,0.8945,0.935,42.0,0.1532290738189774
10y,new_issue,False,train,26,0.0732860416021356,0.03890666063242359,1.2676618527293684,0.6923076923076923,0.20918360454542767,0.46153846153846156,0.06406280977989681,0.5,0.06899603058862555,0.5769230769230769,0.1815,1.0,0.852,0.7525,26.0,0.2841025641025641
10y,new_issue,False,holdout,16,0.3049660080986953,0.27027618431551,2.0806704023656613,0.875,-0.014009186941712062,0.5625,-0.006725082869597422,0.5,0.08832322367066917,0.5,0.003,0.516,0.764,0.9855,16.0,-0.411764705882353
10y,reopen,False,full,74,0.4413317344112917,0.4113955370958034,0.7899752864870219,0.6351351351351351,-0.03785834632632253,0.47297297297297297,-0.001848068168805609,0.5135135135135135,-0.06154473369090814,0.5135135135135135,0.0265,0.198,0.7565,0.734,74.0,-0.08427989633469084
10y,reopen,False,train,40,0.7497509588588306,0.7763758787272741,1.2790451244877366,0.6,-0.10997327586403935,0.45,-0.18121024763175345,0.425,-0.3061292060498341,0.5,0.0235,0.14,0.5015,0.503,40.0,-0.28030018761726083
10y,reopen,False,holdout,34,0.07848558800242247,-0.017993100117691476,0.21459900648618102,0.6764705882352942,0.04698274724746193,0.5,0.209166260611133,0.6176470588235294,0.22620170437841658,0.5294117647058824,0.35,0.743,0.9975,0.995,34.0,0.12360580595874712
30y,new_issue,False,full,17,-0.037821245098461895,0.1780114769638933,1.1594277420673171,0.4117647058823529,0.04874187675122511,0.47058823529411764,0.02550642091190809,0.5882352941176471,0.03998623842390151,0.5294117647058824,0.8295,0.9855,0.786,0.8875,17.0,-0.2132352941176471
30y,new_issue,True,train,9,,,,,,,,,,,,,,,,
30y,new_issue,True,holdout,8,,,,,,,,,,,,,,,,
5y,new_issue,False,full,28,0.025477842575415157,0.05328196439253858,-17.15979059023583,0.35714285714285715,-0.12458121901215277,0.6785714285714286,-0.2599457873208553,0.6785714285714286,-0.4382053806285205,0.7142857142857143,0.4805,0.0,0.004,0.0005,28.0,-0.09304871373836891
5y,new_issue,False,train,12,0.06050722505931281,0.10026273150662325,-39.303907683941944,0.3333333333333333,-0.11791848555561402,0.6666666666666666,-0.32649546069144003,0.8333333333333334,-0.6736948038128698,0.8333333333333334,0.355,0.029,0.061,0.0145,12.0,-0.4545454545454546
5y,new_issue,False,holdout,16,-0.0007941942875080987,0.018046389056975032,-0.5517027699562453,0.375,-0.1295782691045569,0.6875,-0.21003353229291666,0.5625,-0.2615883132402584,0.625,0.6795,0.0025,0.0105,0.0055,16.0,-0.15
5y,reopen,False,full,34,-0.3903337832836266,-0.5769808923658892,-0.22943632113516568,0.6764705882352942,-0.04083150513095552,0.47058823529411764,-0.30523039160473003,0.47058823529411764,-1.1157673209303334,0.5588235294117647,0.8795,0.2975,0.119,0.0075,34.0,-0.1712757830404889
5y,reopen,False,train,18,-0.7824113998095088,-1.2157346554642774,-0.4693288141619399,0.7777777777777778,0.008755395222588835,0.4444444444444444,-0.4184481696809623,0.3888888888888889,-1.8145088833607146,0.4444444444444444,0.8725,0.4205,0.1865,0.0365,18.0,-0.009287925696594427
5y,reopen,False,holdout,16,0.05075353530799104,0.14161709111979764,0.04044273351995531,0.5625,-0.09661676802869293,0.5,-0.17786039126896858,0.5625,-0.32968306319615415,0.6875,0.5095,0.137,0.089,0.035,16.0,0.032352941176470584
