Issuer Name,Ticker,Amt Issued,Issue Date,ISIN,Coupon,Maturity,Series,BBG Composite,Mty Type,Currency
Australia Government Bond,ACGB,7232610000,10/3/2013,AU000XCLWAF4,2,8/21/2035,35CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,7309538016,10/8/2009,AU0000XCLWP8,3,9/20/2025,25CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,7670700000,9/21/2010,AU0000XCLWV6,2.5,9/20/2030,30CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,5263920000,8/31/2021,AU0000171134,0.25,11/21/2032,32CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,5827080000,8/31/2017,AU000XCLWAV1,0.75,11/21/2027,27CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,3335000000,9/25/2018,AU0000024044,1,2/21/2050,50CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,4408200000,8/20/2015,AU000XCLWAO6,1.25,8/21/2040,40CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,1004203200,2/22/1993,AU0000XCLWA0,4,8/20/2010,10CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,4053829900,10/14/1996,AU0000XCLWE2,4,8/20/2020,20CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,7367860000,2/28/2012,AU000XCLWAB3,1.25,2/21/2022,22CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,4710313608,5/2/2014,AU000XCLWAJ6,1,11/21/2018,18CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,83932750,2/20/1987,AU0000XCLTF5,4,8/20/1998,98CI,#N/A N/A,AT MATURITY,AUD
Australia Government Bond,ACGB,374754527.1,8/20/1985,AU0000XCLSO9,4,8/20/2005,05CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,2329564400,5/18/1994,AU0000XCLWD4,4,8/20/2015,15CI,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,12314.8,8/1/1985,AU0000XCLSQ4,4.25,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,13944,2/6/1986,AU0000XCLSY8,5.8,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,9247,11/6/1985,AU0000XCLSZ5,4.75,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,740.4,5/8/1986,AU0000XCLTD0,5,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,10690.5,5/14/1987,AU0000XCLTK5,5.15,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,613.7,8/7/1986,AU0000XCLTL3,5.3,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,96162,11/12/1987,AU0000XCLTS8,5,8/20/1998,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,8553.6,8/27/1987,AU0000XCLTT6,4.9,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,288643.5,5/14/1987,AU0000XCLTI9,5.25,8/20/1998,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,420246,2/12/1987,AU0000XCLTJ7,5.75,8/20/1998,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,8359,11/8/1986,AU0000XCLTM1,5.5,8/20/2005,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,174636,8/27/1987,AU0000XCLTQ2,4.9,8/20/1998,#N/A Field Not Applicable,NR,AT MATURITY,AUD
Australia Government Bond,ACGB,307432.3,2/11/1988,AU0000XCLTW0,4.65,8/20/1998,#N/A Field Not Applicable,NR,AT MATURITY,AUD
